Date and Time	New York	Mexico City	Sao Paulo
1/1/2022 0:00	6.225944404	21.90052061	32.19307301
1/1/2022 1:00	10.05724972	20.50315008	33.54266016
1/1/2022 2:00	9.727012278	27.47717586	39.88701145
1/1/2022 3:00	10.61907375	22.53790381	34.05214063
1/1/2022 4:00	11.76845608	29.99412224	32.72155836
1/1/2022 5:00	8.285078932	22.86364856	34.57506991
1/1/2022 6:00	13.81052333	20.02402484	37.69763661
1/1/2022 7:00	8.450089029	22.16682651	32.85385628
1/1/2022 8:00	13.65932179	23.05171399	35.41798694
1/1/2022 9:00	11.20367466	21.28453068	37.63653902
1/1/2022 10:00	12.32655355	29.59040163	38.58370497
1/1/2022 11:00	11.91313927	28.45282048	39.05671592
1/1/2022 12:00	10.31294851	24.11931635	37.36914238
1/1/2022 13:00	13.09584165	26.00807612	33.37455044
1/1/2022 14:00	5.069238721	21.15583497	37.0369977
1/1/2022 15:00	11.378449	28.22874309	34.51441564
1/1/2022 16:00	13.23067443	29.73131568	33.49841173
1/1/2022 17:00	12.87270407	25.01287994	33.90422364
1/1/2022 18:00	5.110154936	22.25304471	32.82267337
1/1/2022 19:00	9.428883365	24.54107032	32.34071697
1/1/2022 20:00	12.91775624	28.58087418	34.46751683
1/1/2022 21:00	5.368620477	21.04983397	30.01520748
1/1/2022 22:00	8.632393449	29.81541138	36.06820193
1/1/2022 23:00	8.461077019	23.12517684	30.04568266
1/2/2022 0:00	11.79792146	20.38182859	34.41720319
1/2/2022 1:00	5.683217668	21.80757614	36.91561103
1/2/2022 2:00	11.48193322	22.04667779	38.7077346
1/2/2022 3:00	5.421075376	28.83301764	37.96258191
1/2/2022 4:00	11.74765383	22.81067209	33.73054405
1/2/2022 5:00	9.534324739	23.64310413	32.64681954
1/2/2022 6:00	7.929274783	28.63668932	36.67597753
1/2/2022 7:00	9.169134389	23.97378194	35.75337087
1/2/2022 8:00	6.975738527	26.09760568	30.93649109
1/2/2022 9:00	13.26332127	23.18388495	39.66024615
1/2/2022 10:00	13.14206742	21.18984694	37.73835498
1/2/2022 11:00	11.08216328	25.64097585	36.81089708
1/2/2022 12:00	9.949667597	22.68481104	30.1059449
1/2/2022 13:00	11.80895815	23.79325575	34.07933503
1/2/2022 14:00	10.98900003	29.70431529	32.00764927
1/2/2022 15:00	14.55869673	27.91592189	35.95423103
1/2/2022 16:00	11.71352436	21.78438852	36.03340236
1/2/2022 17:00	11.7304856	29.83671586	31.87684862
1/2/2022 18:00	11.91398881	20.63180727	34.5940087
1/2/2022 19:00	5.867361925	23.03027596	37.43543608
1/2/2022 20:00	9.873267663	27.33102718	34.30031356
1/2/2022 21:00	6.520684676	21.51841976	37.36462609
1/2/2022 22:00	13.16802266	25.85439408	35.39154945
1/2/2022 23:00	12.01118502	24.49110786	35.0353403
